Id,Price
4567,166740.92292909036
5925,135540.76948351605
960,150734.64467220145
3848,115775.49916267453
746,197450.79039559534
868,302820.288151674
672,119919.1647798936
2471,213775.73814157915
4510,119376.07538344727
8354,245797.17132401557
6393,172111.77029274544
13270,236157.3433623355
5250,302281.9335875319
16751,180245.3089461668
11404,132781.56929799102
10588,328906.89974160615
14925,202768.42042672826
6791,197780.71942251927
16097,185931.08115355557
16428,369340.9830976048
6945,330083.8756715594
3190,194480.8231911755
15709,437125.1040534117
13155,163145.10534775548
7675,189564.22505971513
14686,219200.0380600484
609,152483.3993026729
11155,165334.59864370708
10869,175247.02081811277
15742,182169.7297264985
9245,195843.34195727983
3340,171165.53347888208
2359,289394.37375370815
8070,206759.09777880152
13707,123920.6763004423
16079,264802.8121356813
15937,263926.2766749743
14090,189156.7254845018
9008,229392.0751946381
16384,163061.3173898783
11657,220599.10685720475
13151,177131.33407363796
8990,154483.81873444156
11857,180259.6221169965
1565,156054.16386014095
8174,99314.63765077594
9247,228484.09665282044
10478,224234.56878156445
15509,138630.01634800746
8306,235192.59251176403
6642,183044.8341517201
7472,221465.4876066234
15989,132078.50375813644
13682,128107.69405665394
163,259172.96511599811
7076,198546.3432215573
7478,367223.0619374507
3029,186955.4900381565
1814,139776.29425213044
10057,136712.9354877262
15100,181971.72416334014
12694,226156.45048512606
6291,180027.7229191126
12603,196323.8565894197
3218,249372.08134144256
13456,130603.86507773008
10170,224216.22199428448
4530,154687.71144640792
13329,162595.50682945483
4820,158999.13614996214
10896,170384.16413071755
13416,120616.1777742082
2701,227578.1633692253
11265,308433.0131742432
9189,237986.33279929787
1858,183525.1131179904
14536,244450.20836950582
6199,310667.2805763973
14730,146380.91628859472
7510,265873.52485491324
15505,155437.39528522495
7446,203770.08748864522
14016,188285.01391908235
14113,111192.84422942055
8721,295259.424506527
6193,300368.0918959152
5717,172726.86522700937
5427,321225.8531747587
9520,480214.3825076925
6869,97579.32827909528
1658,153502.3806060616
6639,193670.5764197452
6283,194477.0647570031
6257,128050.87923727575
15235,181110.45223823728
902,239497.7171192015
8932,191635.79604227058
16469,404305.546368697
2825,279434.8665715631
6450,446894.32902255596
11366,178322.67694933352
3801,351273.80984901753
11385,206144.0570496673
1079,191137.52496329808
3202,205543.53599346135
676,230787.7656948828
6185,303259.6109407292
7730,159340.5314046766
2573,181014.26225603625
10978,204878.96936761079
10962,262070.3594134247
8870,188419.89759585774
8496,163817.2017914958
5517,164256.09411255355
927,181356.76409672992
13675,203184.16616008093
1499,232273.552461114
15536,332475.2374066217
8602,373549.24962533196
12137,459229.601908968
9865,249552.1792865593
16353,284218.55836893205
15908,206404.29134201893
3944,180182.42775161957
10359,207166.2309065108
15158,214465.86715775146
3259,240358.3849458131
7220,320653.1532472066
13843,204150.83723804232
16736,185753.6806960033
702,251723.18070323055
16401,100390.68879324356
12134,186818.50110810093
6918,242774.21561899307
11792,124496.27781439823
3798,124047.47710482586
10395,129687.64596526293
11099,139397.67028289847
7090,196678.8966922824
11260,185895.26860525634
9647,190163.7349509865
2903,426237.15155968873
2071,183350.49177420518
8604,177703.07014710523
9346,207726.4575952258
3945,201185.46029950795
3420,133902.6545160351
10842,124703.74855026069
725,153371.1709972812
13931,185796.75057352037
16330,238600.2888578637
9066,427686.20341208956
3326,281037.2273011147
1556,288359.48993758205
6579,98110.08284980756
13877,133803.79844400857
9857,327994.95918596245
7302,242553.45692875836
5684,202170.9373227777
6513,233347.19322399786
11342,112783.3427459982
16561,235366.45766304614
6885,175272.79119724515
9308,183960.4136865463
2559,175851.906970895
6648,185103.98918564117
15260,167950.7910891856
5113,196608.14255949797
16492,189551.0425063648
12034,290131.4285701848
7248,209551.91953423386
2171,217403.4684843477
10594,172376.55120243732
13241,203953.39709737114
7032,141281.89332060926
4884,169381.92258751302
903,216862.18301851515
162,172174.7574892804
6566,262169.6240857768
8249,140763.68354947088
13106,163143.82984069764
256,124946.81173101775
7976,171300.1953739127
8575,170339.2868830325
7591,270240.0773349432
3204,210478.26145552393
15804,180809.74642108538
1525,310758.0922224063
9038,205931.38433411822
13628,200745.66750778182
10016,199287.82748169854
10208,221672.2164308131
2008,191825.89346646564
13029,189324.93583578806
5099,133289.95353445841
9923,286022.98378173454
9461,129617.6034022094
11086,181818.75922621603
15057,287840.26045805856
10689,179594.00526241292
2053,215230.02876120037
16630,183129.09039148098
4985,168664.33907414772
13881,222222.8695873398
13225,191611.5953339484
5779,69629.07131000204
10262,175667.20029734902
10762,208996.49538674136
9513,195245.97755438744
11128,169296.49777286017
2074,296508.68049025064
933,183418.1060316948
2780,188402.04387413038
6594,108778.29849681423
15394,271517.65178856096
14863,125390.52339507316
6698,205504.49130973459
1611,269358.338838766
174,191106.30838310585
5160,182374.55909663954
3295,309934.66255683225
4559,396064.16408391844
8254,171742.62134583842
10228,97169.97618538009
13924,128902.31661466556
15341,246959.62388998974
4353,171155.8047350771
4334,69367.62753224374
1872,151103.88676604064
7823,198745.7503906237
310,143240.63595654775
3704,242733.03081488993
11615,263041.7694029603
6605,209213.4698736485
3381,186030.8344524381
2143,142925.15443831185
3191,237528.01124946406
13980,127567.4212080827
15613,163357.20916851194
10943,311412.4607535277
9654,110076.07043654118
16053,466547.20522224845
14931,220289.7476770711
8299,218073.98140172355
2147,174310.30841864503
11567,374761.2130437594
5905,135936.7799292003
11160,110382.19586569964
8275,149449.73852835342
16398,279647.89121536416
11229,161408.1028677945
10309,148223.4822185946
7340,274379.2045383333
7653,176607.75228534456
272,195847.3638793236
9831,210674.95591641302
5016,135158.89010182486
5968,76093.69746598123
796,247817.55485248315
12123,125060.26423045395
16629,177954.01620771358
2637,160995.9045570698
6194,225272.27841720177
6216,374220.6188307774
14346,176070.56016838658
6428,135516.78631886697
2891,235745.3828711448
84,176020.93251506297
9260,213378.87615340925
15250,152079.98468502358
2348,203905.8396966605
10427,277141.71491028013
13230,238007.33100646353
1691,207373.57319309702
8803,126342.19785192006
5464,231242.0612156091
10559,102106.5518390537
16787,316719.73308171605
4278,143902.49530609217
6183,170164.3729222185
12775,153806.76734356198
10104,173514.68050719143
13663,177707.78254818614
9404,267314.5574639623
14724,202706.11029903474
10040,181696.18352951904
4646,202303.6548487462
4754,143072.65821463693
3310,216778.01503008616
2003,184430.63013056348
7312,211914.26274726563
10921,251266.8758012285
13419,289174.94401228736
10105,162819.37730009004
2196,469787.0618438306
12659,241827.25722114785
4380,220678.50803610083
10847,148438.8586746303
10805,264402.445338502
8709,100352.62241371823
8319,176003.5895852099
2215,175959.4737636941
7000,196670.96980615734
7701,108488.94111691833
9678,197593.03264025238
14026,196199.07943357114
7971,164092.12305387025
13734,146900.52414680945
16483,195768.9822359157
6150,206960.1877010629
2931,286326.6433174387
5418,180578.84005551314
1662,511085.1044445775
2441,234410.7482005346
669,140912.16988586754
7734,190650.55513650746
6010,305375.9944133844
266,137973.47697277702
632,133523.20324000914
16221,110456.60822875003
11832,178001.06166554493
